Model,Seeds,Cont_Accuracy_Mean,Cont_Accuracy_Std,Cont_BPC_Mean,Cont_BPC_Std,Peak_Accuracy_Mean,Peak_Accuracy_Std,Retained_Accuracy_Mean,Retained_Accuracy_Std,Forward_Transfer_Mean,Forward_Transfer_Std,Cont_Acc_Forgetting_Mean,Cont_Acc_Forgetting_Std,Cont_BPC_Forgetting_Mean,Cont_BPC_Forgetting_Std,Probe_Acc_Layer0,Probe_Acc_Layer1,Probe_Acc_Layer2,Repetition_Rate_Mean,Distinct_2_Mean,Distinct_3_Mean,Final_Dim_Mean,Births_Mean,Prunes_Mean,Runtime_Mean
deep_agnis_2L,5,0.03986372059697724,0.003045005698804807,5.643968616531794,0.00015923781900074088,0.1362333734285759,0.021295535228871766,0.03986372059697724,0.0030450056988048113,0.07175394398999199,0.02051599816223754,0.09636965283159867,0.02282981299901831,0.06099728696608762,0.01438161528872558,0.8030922651290894,0.8030922651290894,0.0,0.2262475753846458,0.4156224249611936,0.7737524246153542,64/32,0.0,0.0,2691.808779859543
deep_agnis_3L,5,0.03985099795066681,0.0030240421443296665,5.644007318350743,0.0002208180150445747,0.1265048907654564,0.018000285381865943,0.03985099795066681,0.0030240421443296682,0.062064836161824996,0.02700966141756983,0.08665389281478961,0.018615315724839904,0.059707163510339355,0.010657779169504337,0.8031559616327286,0.8030922651290894,0.8030922651290894,0.22373269253735922,0.4228073781483757,0.7762673074626407,64/32/16,0.0,0.0,3048.127966785431
deep_agnis_3L_neurogenesis,5,0.03986372059697724,0.003045005698804807,5.643969387281585,0.0001586007807414401,0.13243649979804217,0.01782613936311672,0.03986372059697724,0.0030450056988048113,0.07662753264186631,0.019513735662043855,0.09257277920106492,0.018458565433380644,0.05848651429455374,0.01103262121904853,0.8031559616327286,0.8030922651290894,0.8030922651290894,0.22739729210310392,0.4153735852105477,0.772602707896896,64/48/24,24.2,0.0,2617.2221100330353
gru_baseline,5,0.4391580347942739,0.008300719306203602,7.39902859082635,0.29231835105391746,0.7572094831144834,0.010849745355956196,0.4391580347942739,0.008300719306203602,0.27410411584270167,0.018439067567255506,0.3180514483202096,0.012706996189470302,5.9855766359276545,0.26664121079924075,0.0,0.0,0.0,0.4993914962670038,0.34593314860253377,0.5006085037329963,64,0.0,0.0,992.7265864372254
gru_ewc_baseline,5,0.44183915586848166,0.008895471141704579,7.931108908365056,0.2981745567574209,0.7568084266170065,0.01443988702542078,0.44183915586848166,0.008895471141704579,0.273650674843065,0.010250418487145288,0.3149692707485249,0.007231554833311329,6.153705974524794,0.34857538577352637,0.0,0.0,0.0,0.48865263905274786,0.3648789470007456,0.5113473609472521,64,0.0,0.0,1503.213998889923
gru_replay_baseline,5,0.4438094930060078,0.01982387037576779,7.071261815542661,0.06758781184536339,0.7537521260823208,0.005545808562967169,0.4438094930060078,0.019823870375767792,0.2706575338991827,0.012480103233763813,0.3099426330763131,0.017303167946865705,5.583849530532076,0.11330935353006093,0.0,0.0,0.0,0.5090046714083174,0.33935829601586337,0.4909953285916825,64,0.0,0.0,1021.0365892887115
rnn_baseline,5,0.3793410681579867,0.024559034222266112,5.852524944006372,0.3788740482250205,0.5951713308270413,0.02635848635874505,0.3793410681579867,0.024559034222266133,0.2411858238264414,0.016238388297166624,0.21583026266905475,0.011244319486102796,3.520324789683303,0.4347501833065028,0.0,0.0,0.0,0.4898600833920601,0.3145610153037917,0.5101399166079399,64,0.0,0.0,550.6522336959839
rnn_ewc_baseline,5,0.4305557227471546,0.007869760660454457,7.9511914666595045,0.21858098537973134,0.6812667487511598,0.018214117131652354,0.4305557227471546,0.007869760660454464,0.25931959876894706,0.005947558307725891,0.2507110260040052,0.01907355866681206,5.566656562606314,0.30396257563308166,0.0,0.0,0.0,0.4935288448043102,0.32685376325142096,0.5064711551956897,64,0.0,0.0,952.6169065475464
rnn_replay_baseline,5,0.38393158523182885,0.023199422604131645,5.706766530875056,0.30933267109325957,0.5895371884728726,0.02990919348788919,0.38393158523182885,0.023199422604131645,0.2411149482254335,0.017723158873774226,0.20560560324104374,0.020113201989622076,3.3914436910369714,0.3463271690479839,0.0,0.0,0.0,0.494860991995426,0.3134979294621255,0.505139008004574,64,0.0,0.0,556.207669878006
